;y_test_0;y_pred_0;y_test_1;y_pred_1;y_test_2;y_pred_2;y_test_3;y_pred_3
16421;133.632508;123.140015;32.149166;35.209496;133.632508;126.271194;32.149166;38.08367
16422;27.011348;26.065989;30.49462;30.61154;27.011348;32.71323;30.49462;32.509453
16423;80.05823;68.11877;33.705532;27.782417;80.05823;204.25464;33.705532;24.953049
16424;20.610698;26.139933;36.597208;37.475525;20.610698;25.153517;36.597208;30.612255
16425;61.674588;45.305424;27.772448;27.798023;61.674588;40.762844;27.772448;27.80749
16426;66.664476;67.25328;27.12483;28.654222;66.664476;246.31311;27.12483;14.337862
16427;9.630436;8.871516;18.639693;21.382126;9.630436;5.3238955;18.639693;17.651533
16428;49.484744;42.155987;29.683158;40.890114;49.484744;33.43614;29.683158;21.247278
16429;23.038827;24.307474;30.188227;35.881668;23.038827;31.304487;30.188227;36.043053
16430;34.63339;29.408342;34.9386;36.00153;34.63339;31.866667;34.9386;35.255985
16431;17.609145;18.670359;31.66972;30.35619;17.609145;29.25524;31.66972;29.059958
16432;32.340726;30.904589;43.110632;37.839035;32.340726;35.033947;43.110632;27.76814
16433;11.975768;8.822642;30.481984;32.10003;11.975768;28.653784;30.481984;29.521456
16434;9.420026;8.557109;35.29818;43.32281;9.420026;9.021266;35.29818;33.00163
16435;644.169419;627.90643;25.99415;26.531757;644.169419;266.77893;25.99415;44.512024
16436;13.413924;12.153171;13.712148;12.263324;13.413924;20.56458;13.712148;32.184013
16437;67.65615;61.144047;17.637015;19.174164;67.65615;48.93809;17.637015;18.90772
16438;26.168726;25.572107;52.517894;48.94171;26.168726;20.081938;52.517894;55.799957
16439;180.658958;169.53557;55.42908;61.91495;180.658958;171.09726;55.42908;43.695732
16440;19.427375;21.123682;53.11566;64.51301;19.427375;29.123648;53.11566;65.59535
16441;44.37856;49.85893;25.276247;25.591377;44.37856;38.962276;25.276247;29.131197
16442;29.76642;23.698069;42.09678;45.98635;29.76642;26.977911;42.09678;40.129993
16443;12.455925;10.820193;13.832952;12.898545;12.455925;46.10535;13.832952;12.710302
16444;27.52245;25.242815;25.951809;26.194077;27.52245;44.94427;25.951809;30.233921
16445;36.508112;38.102093;13.896201;18.941769;36.508112;26.3355;13.896201;15.321823
16446;50.629745;46.225704;50.686636;44.179565;50.629745;41.520977;50.686636;30.26012
16447;21.899154;20.045069;27.725976;24.668343;21.899154;19.80863;27.725976;24.21555
16448;193.68486;164.67053;35.822051;35.59067;193.68486;157.28783;35.822051;33.9144
16449;43.566214;44.777805;30.59073;41.299892;43.566214;30.72642;30.59073;20.227095
16450;130.243646;150.57117;31.01465;30.624588;130.243646;145.09834;31.01465;32.65268
16451;53.477307;49.10535;65.255868;67.56114;53.477307;41.97266;65.255868;48.016975
16452;64.995177;53.859436;23.424298;27.941648;64.995177;37.02171;23.424298;27.318676
16453;7.990983;9.100566;28.26712;28.226614;7.990983;7.38017;28.26712;26.64727
16454;30.584512;33.6094;20.570187;25.619091;30.584512;212.39536;20.570187;24.33986
16455;23.839802;24.901262;60.048998;59.074028;23.839802;31.289991;60.048998;56.693726
16456;55.437291;47.54072;17.37987;19.034662;55.437291;30.350012;17.37987;32.228615
16457;24.894054;24.333467;12.130854;13.7743;24.894054;22.47888;12.130854;23.41788
16458;7.132914;5.9556036;27.4155;29.878157;7.132914;0.70654035;27.4155;28.591383
16459;41.55072;35.28014;73.661046;63.45372;41.55072;29.738409;73.661046;49.563427
16460;41.66877;42.303883;44.370696;50.936275;41.66877;225.97896;44.370696;25.34983
16461;557.295259;628.45575;31.376464;32.231487;557.295259;263.55936;31.376464;32.12805
16462;44.90388;46.876965;44.8062;41.644386;44.90388;37.938374;44.8062;35.834972
16463;70.911977;65.518036;13.599882;13.257413;70.911977;261.13232;13.599882;16.02737
16464;30.5982;29.397287;19.499811;27.08635;30.5982;34.765987;19.499811;28.196527
16465;14.346633;9.709277;54.01341;53.280224;14.346633;13.8002825;54.01341;36.481014
16466;53.404039;39.68011;13.302774;15.138952;53.404039;30.027906;13.302774;21.033712
16467;30.773248;23.570742;55.972942;48.729656;30.773248;15.326955;55.972942;47.916885
16468;8.78304;9.2531;21.692252;19.516272;8.78304;2.0465367;21.692252;20.13493
16469;33.38349;34.929363;11.471301;10.119171;33.38349;42.551586;11.471301;14.730628
16470;39.319312;43.78773;8.334105;9.838749;39.319312;31.395643;8.334105;9.423479
16471;110.39418;175.94063;50.619194;45.262238;110.39418;146.77164;50.619194;44.398823
16472;29.00394;30.063921;64.382262;61.373077;29.00394;38.343685;64.382262;61.14809
16473;13.379268;10.646548;52.85626;53.125984;13.379268;19.205076;52.85626;51.73468
16474;21.137509;21.763784;36.986288;41.78334;21.137509;28.485174;36.986288;18.79399
16475;19.981038;21.777376;18.876087;24.836426;19.981038;21.647371;18.876087;22.508604
16476;647.441169;615.7426;49.787971;46.509132;647.441169;235.25995;49.787971;45.03826
16477;34.081138;30.506609;23.570085;26.414682;34.081138;32.650967;23.570085;24.226007
16478;6.122545;6.913417;49.021472;42.23942;6.122545;-1.6484249;49.021472;14.468258
16479;15.931272;16.152971;53.42528;53.078705;15.931272;17.70915;53.42528;56.5052
16480;150.050267;171.6557;63.574173;56.050377;150.050267;169.67036;63.574173;41.486923
16481;34.16946;56.86745;31.9274;32.75583;34.16946;54.830776;31.9274;34.159866
16482;59.656248;55.65477;23.005515;28.21215;59.656248;52.041157;23.005515;25.48655
16483;29.032955;27.550692;56.23277;50.649555;29.032955;50.626522;56.23277;53.14756
16484;54.970008;46.41492;56.273022;57.059944;54.970008;27.42253;56.273022;36.89521
16485;46.56795;47.464542;62.799954;53.152832;46.56795;250.68567;62.799954;52.445404
16486;20.06862;20.709581;43.017;43.48932;20.06862;30.724546;43.017;43.336304
16487;28.215864;18.786257;52.69602;53.30568;28.215864;26.579046;52.69602;58.118645
16488;494.62632;612.14624;17.723202;27.417511;494.62632;213.59776;17.723202;29.570017
16489;49.614894;43.897686;33.049721;31.67107;49.614894;30.843801;33.049721;35.240482
16490;422.48245;588.01416;7.415809;7.359083;422.48245;188.92747;7.415809;11.87266
16491;55.263686;36.8076;24.568452;27.1403;55.263686;29.666792;24.568452;25.932203
16492;46.331135;44.181736;22.568391;24.18985;46.331135;33.17934;22.568391;24.718317
16493;5.422095;7.7574224;18.211215;21.365952;5.422095;-1.3883502;18.211215;21.969599
16494;599.98625;677.6356;31.001696;28.060156;599.98625;215.7525;31.001696;28.186754
16495;59.951004;51.90923;72.007926;66.46925;59.951004;75.9973;72.007926;53.099133
16496;27.97248;24.280886;22.078381;24.285757;27.97248;29.012526;22.078381;23.989899
16497;47.96664;37.990368;19.7188;21.969294;47.96664;25.937735;19.7188;22.07527
16498;52.538507;47.49923;61.462194;53.875206;52.538507;203.03062;61.462194;58.81357
16499;10.148128;10.90816;27.576112;31.842916;10.148128;25.83235;27.576112;46.02377
16500;44.687412;40.346027;17.465528;21.07832;44.687412;27.120222;17.465528;21.849506
16501;44.512356;44.402264;21.485176;19.287493;44.512356;39.791836;21.485176;28.50685
16502;49.105519;49.378315;11.39919;12.340401;49.105519;34.001934;11.39919;16.120697
16503;10.253002;7.875926;47.605319;48.25193;10.253002;6.05264;47.605319;33.647514
16504;25.917517;23.271784;45.475992;48.18145;25.917517;39.858944;45.475992;46.06749
16505;67.379568;51.945667;30.128274;30.920277;67.379568;54.723064;30.128274;31.135637
16506;34.87773;36.27498;10.42069;11.59696;34.87773;22.628538;10.42069;16.172161
16507;14.685252;16.762854;62.513331;64.46487;14.685252;23.622587;62.513331;52.31957
16508;29.99507;27.638796;60.198588;60.384747;29.99507;16.843443;60.198588;28.810968
16509;58.16877;49.679005;49.777594;52.08888;58.16877;12.168708;49.777594;49.171856
16510;35.404115;23.049334;27.592572;28.727543;35.404115;30.886724;27.592572;47.97395
16511;6.414334;7.300193;62.98379;61.674404;6.414334;-2.9748485;62.98379;62.798534
16512;12.983362;15.734126;56.55024;53.95298;12.983362;15.756555;56.55024;44.94938
16513;41.240816;47.573658;25.783362;32.135338;41.240816;33.974323;25.783362;27.386648
16514;28.165792;29.717577;15.57492;18.275032;28.165792;28.938063;15.57492;29.906706
16515;35.835696;37.362522;78.570448;66.68803;35.835696;40.086742;78.570448;50.782177
16516;203.821462;185.20016;45.979392;43.74397;203.821462;169.485;45.979392;29.259481
16517;70.89891;66.393875;11.524678;11.5755415;70.89891;256.65024;11.524678;12.155308
16518;50.979456;49.93164;36.2659;34.110565;50.979456;32.764935;36.2659;34.450798
16519;45.776928;46.923077;14.760648;11.934381;45.776928;26.630594;14.760648;12.021818
16520;56.450256;50.48122;72.003885;67.79955;56.450256;42.802395;72.003885;52.869568
16521;15.462832;19.431284;37.353771;37.411873;15.462832;26.875715;37.353771;36.679123
16522;26.13597;22.21831;44.166272;39.657604;26.13597;29.293684;44.166272;18.456802
16523;21.854271;21.24251;65.411298;62.735092;21.854271;25.564955;65.411298;52.610603
16524;11.76959;13.018802;40.413555;44.924072;11.76959;-5.6365232;40.413555;39.89701
16525;13.511853;17.018633;21.178352;27.548666;13.511853;13.922364;21.178352;44.51284
16526;56.35616;48.347206;25.899456;26.285578;56.35616;84.971634;25.899456;27.09339
16527;30.2428;22.419767;10.579014;8.518423;30.2428;29.277746;10.579014;11.976648
16528;47.5771;43.96584;23.515184;25.92976;47.5771;34.993107;23.515184;28.042625
16529;20.133945;19.582964;50.259006;47.718895;20.133945;24.478758;50.259006;46.502926
16530;13.95;8.049136;32.429836;32.02686;13.95;20.727972;32.429836;26.494225
16531;139.058154;130.62202;37.15551;47.59239;139.058154;116.167206;37.15551;43.64924
16532;41.907209;41.618042;23.910558;23.596397;41.907209;17.846228;23.910558;22.832455
16533;194.86853;177.47601;17.26248;19.475395;194.86853;176.7152;17.26248;22.121971
16534;34.061116;38.29907;12.456261;12.565454;34.061116;22.848295;12.456261;11.058969
16535;62.886732;58.8496;18.745805;18.93625;62.886732;15.666734;18.745805;26.252863
